date,price,earnings,trailing_pe,cape
1937.06,15.64,1.17,13.367521367521368,18.711659960364965
1937.07,16.57,1.18667,13.963443922910331,19.646723279607627
1937.08,16.74,1.20333,13.91139587644287,19.806982577380964
1937.09,14.37,1.22,11.778688524590164,16.847882862705806
1937.1,12.28,1.19,10.319327731092438,14.361659574753352
1937.11,11.2,1.16,9.655172413793103,13.158119166486063
1937.12,11.02,1.13,9.752212389380531,13.008483033706137
1938.01,11.31,1.07667,10.504611440831454,13.511461918562418
1938.02,11.04,1.02333,10.788308756706046,13.26307623646087
1938.03,10.31,0.97,10.628865979381445,12.37728623469769
1938.04,9.89,0.903333,10.948343523373994,11.789517720684183
1938.05,9.98,0.836667,11.928282100286015,11.992275930545693
1938.06,10.21,0.77,13.25974025974026,12.288966307788131
1938.07,12.24,0.72,17.0,14.77032801749207
1938.08,12.31,0.67,18.37313432835821,14.903588512604365
1938.09,11.75,0.62,18.951612903225808,14.282330508639967
1938.1,13.06,0.626667,20.840414446588063,16.06114764333344
1938.11,13.07,0.633333,20.636852966764717,16.149571800715517
1938.12,12.69,0.64,19.828125,15.756484438994006
1939.01,12.5,0.663333,18.84423057499024,15.599634410919288
1939.02,12.4,0.686667,18.058243661046767,15.664696928954772
1939.03,12.39,0.71,17.450704225352116,15.729223743214229
1939.04,10.83,0.726667,14.903662888228034,13.916994579812405
1939.05,11.23,0.743333,15.107630093107666,14.502929499657775
1939.06,11.43,0.76,15.039473684210526,14.833828921489786
1939.07,11.71,0.776667,15.07724674796277,15.270952598570258
1939.08,11.54,0.793333,14.546224599254034,15.120082343333989
1939.09,12.77,0.81,15.76543209876543,16.452835577060963
1939.1,12.9,0.84,15.357142857142858,16.82120480626564
1939.11,12.67,0.87,14.563218390804598,16.59923850994664
1939.12,12.37,0.9,13.744444444444444,16.280412901283842
1940.01,12.3,0.93,13.225806451612904,16.37848034261367
1940.02,12.22,0.96,12.729166666666668,16.216119847731054
1940.03,12.15,0.99,12.272727272727273,16.172906305307897
1940.04,12.27,1.00667,12.18870136191602,16.370988707128785
1940.05,10.58,1.02333,10.338795891843295,14.138747694800731
1940.06,9.67,1.04,9.298076923076923,12.843765598268808
1940.07,9.99,1.05333,9.484207228503887,13.36988476321006
1940.08,10.2,1.06667,9.562470117280883,13.649399392391642
1940.09,10.63,1.08,9.842592592592593,14.214842598620642
1940.1,10.73,1.07,10.028037383177569,14.328290323104959
1940.11,10.98,1.06,10.358490566037736,14.636689248763613
1940.12,10.53,1.05,10.028571428571427,13.908426122353838
1941.01,10.55,1.05333,10.015854480552154,13.904158267950832
1941.02,9.89,1.05667,9.359591925577522,13.002943303402448
1941.03,9.95,1.06,9.386792452830187,12.955719822063331
1941.04,9.64,1.07,9.009345794392523,12.429370389220786
1941.05,9.43,1.08,8.731481481481481,12.037206512481578
1941.06,9.76,1.09,8.954128440366972,12.164306590628442
1941.07,10.26,1.12333,9.133558259816795,12.744996277919583
1941.08,10.21,1.15667,8.8270638989513,12.46317372038781
1941.09,10.24,1.19,8.605042016806724,12.27972927209308
1941.1,9.83,1.18,8.330508474576272,11.57781495657408
1941.11,9.37,1.17,8.008547008547009,10.911668685916966
1941.12,8.76,1.16,7.551724137931035,10.086593309917905
1942.01,8.93,1.12,7.973214285714285,10.101686431929252
1942.02,8.65,1.08,8.00925925925926,9.680255591749361
1942.03,8.18,1.04,7.865384615384615,9.003426617760969
1942.04,7.84,1.02,7.686274509803921,8.544255707588261
1942.05,7.93,1.0,7.93,8.50611625969605
1942.06,8.33,0.98,8.5,8.90545692851805
1942.07,8.64,0.966667,8.937927952438637,9.150488900994741
1942.08,8.59,0.953333,9.010492661011419,9.012823047564297
1942.09,8.68,0.94,9.23404255319149,9.077829839371503
1942.1,9.32,0.97,9.608247422680414,9.599176749352992
1942.11,9.47,1.0,9.47,9.661334152171664
1942.12,9.52,1.03,9.242718446601941,9.61751410328318
1943.01,10.09,1.04333,9.670957415199409,10.150534220432082
1943.02,10.69,1.05667,10.116687329062053,10.708982995221266
1943.03,11.07,1.07,10.345794392523365,10.850541744036802
1943.04,11.44,1.08,10.592592592592592,11.039227142939692
1943.05,11.89,1.09,10.908256880733944,11.362215800613695
1943.06,12.1,1.1,10.999999999999998,11.51674478645123
1943.07,12.35,1.09333,11.295766145628493,11.774213341781651
1943.08,11.74,1.08667,10.803647841571038,11.210545904158963
1943.09,11.99,1.08,11.101851851851851,11.336281939610283
1943.1,11.88,1.03333,11.496811280036386,11.187335503326027
1943.11,11.33,0.986667,11.483104228681004,10.631033673001417
1943.12,11.48,0.94,12.212765957446809,10.73736031604107
1944.01,11.85,0.936667,12.651241049380408,11.05241276397747
1944.02,11.77,0.933333,12.610718789542425,10.94791888772472
1944.03,12.1,0.93,13.010752688172042,11.224693196180679
1944.04,11.89,0.926667,12.830930636355886,10.938275188239396
1944.05,12.1,0.923333,13.104697871732084,11.103736936792616
1944.06,12.67,0.92,13.771739130434781,11.5327852725325
1944.07,13.0,0.913333,14.233581837073665,11.73877475018071
1944.08,12.81,0.906667,14.128671276223796,11.541711674209218
1944.09,12.6,0.9,14.0,11.32856058469647
1944.1,12.91,0.91,14.186813186813186,11.583105186279123
1944.11,12.82,0.92,13.934782608695652,11.47845919805548
1944.12,13.1,0.93,14.086021505376342,11.63868359335513
1945.01,13.49,0.94,14.351063829787234,11.960463439806993
1945.02,13.94,0.95,14.673684210526316,12.341753548186317
1945.03,13.93,0.96,14.510416666666666,12.32331031138933
1945.04,14.28,0.973333,14.671237901108869,12.631867236563076
1945.05,14.82,0.986667,15.020265195856354,13.036560628785356
1945.06,15.09,1.0,15.09,13.130223361406054
1945.07,14.78,0.996667,14.829426478452683,12.86702844300916
1945.08,14.83,0.993333,14.929535211253427,12.915378562256745
1945.09,15.84,0.99,16.0,13.79826495171978
1945.1,16.5,0.98,16.836734693877553,14.374662675391342
1945.11,17.04,0.97,17.56701030927835,14.847702661876786
1945.12,17.33,0.96,18.052083333333332,15.02034747473997
