Jahr;Damodaran_Branche;Trailing_KGV;Forward_KGV
2016;Metals & Mining;24.16887160171296;17.994838376604722
2016;Office Equipment & Services;13.85955473458034;12.489118190761316
2016;Oil/Gas (Integrated);17.958909254945034;52.49573105118252
2016;Oil/Gas (Production and Exploration);18.941951655155595;98.69023884094192
2016;Oil/Gas Distribution;26.548016505768057;19.742635295119523
2016;Oilfield Svcs/Equip.;27.19387698510926;48.5883365960879
2016;Packaging & Container;32.95552030022354;16.842123672208885
2016;Paper/Forest Products;48.07584654054761;17.618826322955186
2016;Power;21.383736142274252;17.610029912137655
2016;Precious Metals;12.889672873325829;21.141367011576644
2016;Publishing & Newspapers;46.12468433256036;16.825731419111936
2016;R.E.I.T.;82.14009042959522;45.77144747416525
2016;Real Estate (Development);327.1614537482879;20.44034867858518
2016;Real Estate (General/Diversified);71.61761902952941;43.86335403726708
2016;Real Estate (Operations & Services);81.30868435302926;23.041848971472525
2016;Recreation;34.190898432460024;19.225204126651377
2016;Reinsurance;12.155131070880326;13.570674456744566
2016;Restaurant/Dining;29.83931107310129;35.57966724140404
2016;Retail (Automotive);16.556236376057853;22.58860114214795
2016;Retail (Building Supply);37.89494573133689;28.6198932381389
2016;Retail (Distributors);28.79194968367152;97.76702911235112
2016;Retail (General);22.738204312473087;82.59277356628452
2016;Retail (Grocery and Food);26.881216047109135;19.489189382303422
2016;Retail (Online);104.31771380529864;89.69638187638765
2016;Retail (Special Lines);28.42950680418276;20.481822212203312
2016;Rubber& Tires;95.3003577582818;10.206689917564995
2016;Semiconductor;70.94871429064837;24.878328871517898
2016;Semiconductor Equip;241.4432675855806;59.4830891297577
2016;Shipbuilding & Marine;10.75437898065318;13.9696280291476
2016;Shoe;16.348406753991362;19.16694243974253
2016;Software (Entertainment);25.664725406540825;45.957994590976526
2016;Software (Internet);77.73540991754997;52.42488622342874
2016;Software (System & Application);63.17748241728878;71.75829012909152
2016;Steel;52.45430590374947;20.32530172912634
2016;Telecom (Wireless);23.015797359105004;111.7426336495762
2016;Telecom. Equipment;91.5694415174579;30.387355010572477
2016;Telecom. Services;60.371617966997896;42.84630068686331
2016;Tobacco;19.879817637165676;22.64946920201102
2016;Transportation;23.028124072843543;16.012350545291863
2016;Transportation (Railroads);34.200810027617294;14.343297610889673
2016;Trucking;12.98772078105232;13.416894328163266
2016;Unclassified;5.129151291512915;
2016;Utility (General);27.545847643874023;16.64619096329124
2016;Utility (Water);20.742668024805532;48.0216029686527
2016;Total Market;46.04756225528869;29.62694932764755
2017;Advertising;110.9591242;17.1225391
2017;Aerospace/Defense;44.23880426;30.85163831
2017;Air Transport;13.94232999;15.0007007
2017;Apparel;41.12654369;18.30206247
2017;Auto & Truck;12.89948335;11.27196244
2017;Auto Parts;23.84212422;14.42861243
2017;Bank (Money Center);13.65079394;14.2200732
2017;Banks (Regional);20.93682535;22.29678227
2017;Beverage (Alcoholic);65.81409934;27.24944599
2017;Beverage (Soft);31.10646659;52.36066686
2017;Broadcasting;27.66559879;16.42245119
2017;Brokerage & Investment Banking;23.5579762;18.87619756
2017;Building Materials;26.2333105;19.8591395
2017;Business & Consumer Services;31.93714179;22.71282257
2017;Cable TV;20.64285993;27.17035434
2017;Chemical (Basic);19.04954357;18.39644719
2017;Chemical (Diversified);17.31674795;13.82764585
2017;Chemical (Specialty);33.6943853;40.07030259
2017;Coal & Related Energy;16.02643413;30.38598737
2017;Computer Services;152.1052644;20.42885431
2017;Computers/Peripherals;20.14723036;40.3320919
2017;Construction Supplies;29.97683567;25.5680598
2017;Diversified;39.73683283;30.57841148
2017;Drugs (Biotechnology);245.7416681;110.438212
2017;Drugs (Pharmaceutical);43.68739174;21.18976981
2017;Education;35.51139488;36.0271151
2017;Electrical Equipment;2168.348014;25.95709732
2017;Electronics (Consumer & Office);19.28333917;14.22169392
2017;Electronics (General);51.91260351;34.11810818
2017;Engineering/Construction;543.304891;23.52135014
2017;Entertainment;36.64247076;29.32349915
2017;Environmental & Waste Services;43.63250703;28.62670819
2017;Farming/Agriculture;20.68801023;24.77969571
2017;Financial Svcs. (Non-bank & Insurance);29.88358017;30.19951138
2017;Food Processing;36.04659085;24.48206399
2017;Food Wholesalers;133.2446722;22.45876334
2017;Furn/Home Furnishings;27.30637677;20.33279652
2017;Green & Renewable Energy;41.75387759;55.90995917
2017;Healthcare Products;112.4016836;50.44444357
2017;Healthcare Support Services;62.52851695;25.1501011
2017;Heathcare Information and Technology;63.20853933;36.41117311
2017;Homebuilding;17.74146291;12.89898171
2017;Hospitals/Healthcare Facilities;28.99330501;15.73786085
2017;Hotel/Gaming;28.50017649;22.17812672
2017;Household Products;60.98612663;22.30305779
2017;Information Services;28.26362084;20.75531457
2017;Insurance (General);36.68715622;16.50686867
2017;Insurance (Life);12.69207094;11.45103633
2017;Insurance (Prop/Cas.);20.194461;19.7679431
2017;Investments & Asset Management;36.24447829;15.11790905
2017;Machinery;38.04059813;26.45984553
2017;Metals & Mining;27.45452716;26.52168151
2017;Office Equipment & Services;249.5788269;17.56992585
2017;Oil/Gas (Integrated);41.86582774;38.08552015
2017;Oil/Gas (Production and Exploration);15.83765346;143.5834015
2017;Oil/Gas Distribution;36.09633371;36.53699844
2017;Oilfield Svcs/Equip.;170.7834811;952.8844707
2017;Packaging & Container;52.11905542;17.87885661
2017;Paper/Forest Products;39.78356594;14.48698579
2017;Power;120.8615403;19.58669851
2017;Precious Metals;84.14516191;22.27604639
2017;Publishing & Newspapers;87.03661737;19.3626277
2017;R.E.I.T.;129.1521692;45.94083224
2017;Real Estate (Development);20.86609108;19.53230545
2017;Real Estate (General/Diversified);75.09949233;27.77605687
2017;Real Estate (Operations & Services);52.79373626;20.23034448
2017;Recreation;23.0298279;21.01589369
2017;Reinsurance;11.19144693;17.24171509
2017;Restaurant/Dining;32.76765835;31.46241721
2017;Retail (Automotive);20.72631888;16.69719092
2017;Retail (Building Supply);30.81649774;24.01853349
2017;Retail (Distributors);45.63573222;31.10820002
2017;Retail (General);37.07200193;54.54248499
2017;Retail (Grocery and Food);20.79003269;18.9437044
2017;Retail (Online);58.53556639;49.5609925
2017;Retail (Special Lines);23.61858172;20.52455999
2017;Rubber& Tires;16.83334942;8.680036227
2017;Semiconductor;144.504537;67.75948638
2017;Semiconductor Equip;39.67685056;21.87964395
2017;Shipbuilding & Marine;103.1336165;19.97736354
2017;Shoe;17.72904508;21.17266809
2017;Software (Entertainment);785.3231858;25.81422415
2017;Software (Internet);59.26424034;62.32521547
2017;Software (System & Application);133.8183019;100.1983648
2017;Steel;44.55761049;21.19432233
2017;Telecom (Wireless);59.06168849;59.0895306
2017;Telecom. Equipment;50.77186596;26.39534092
2017;Telecom. Services;62.19543534;169.7198759
2017;Tobacco;19.24395957;20.56749369
2017;Transportation;30.41139348;19.11419886
2017;Transportation (Railroads);19.59620797;18.58751396
2017;Trucking;84.6430073;21.82251105
2017;Utility (General);29.51009741;19.34390775
2017;Utility (Water);27.65760775;31.73184198
2017;Total Market;77.3037423;46.10673589
2017;Total Market (without financials);87.9648286826049;50.96483634106887
2018;Advertising;57.18066098477416;17.116986514681077
2018;Aerospace/Defense;29.341971014130824;47.23845158824437
2018;Air Transport;14.101198010772878;13.953847552030911
2018;Apparel;34.87599585704809;20.108566483431535
2018;Auto & Truck;17.29346566450663;12.232211990979817
2018;Auto Parts;20.02919375434948;14.464186401750275
2018;Bank (Money Center);15.755900801545549;14.066561866998796
2018;Banks (Regional);23.146890272983217;16.87457657533553
2018;Beverage (Alcoholic);49.28894460040033;57.56776885557219
2018;Beverage (Soft);39.43773034680914;27.30561383523782
2018;Broadcasting;27.840393651771745;19.58708792617669
2018;Brokerage & Investment Banking;47.56208938892495;20.646258291463372
2018;Building Materials;26.55231177749399;24.975649211925404
2018;Business & Consumer Services;51.59593244914504;22.5424672206979
2018;Cable TV;111.3145136742261;34.079537975282285
2018;Chemical (Basic);38.304547727900854;17.40782326549883
2018;Chemical (Diversified);30.215486723401337;13.525223969350622
2018;Chemical (Specialty);165.87770683476504;29.449361579829127
2018;Coal & Related Energy;1276.0219004571425;14.440931551225768
2018;Computer Services;40.329456524881195;24.480280432442335
2018;Computers/Peripherals;108.61447948163642;26.774626610389873
2018;Construction Supplies;41.99704652594409;24.44922505689821
2018;Diversified;25.9599799650646;25.845053160485698
2018;Drugs (Biotechnology);69.61053498104889;289.909713304376
2018;Drugs (Pharmaceutical);366.68512118025086;23.89589073453852
2018;Education;32.34763011799095;27.64810596612713
2018;Electrical Equipment;23.65205600282535;36.21997763110472
2018;Electronics (Consumer & Office);79.9375592640169;16.463380282038084
2018;Electronics (General);182.29977513069736;25.621195619477863
2018;Engineering/Construction;33.83998092441327;24.826633495256853
2018;Entertainment;70.06560896249647;60.788369637109994
2018;Environmental & Waste Services;132.15099315523702;39.67190018751513
2018;Farming/Agriculture;23.276807176415904;33.96784954108234
2018;Financial Svcs. (Non-bank & Insurance);31.9919344241762;20.84950841973472
2018;Food Processing;100.8470811608433;27.042798607182867
2018;Food Wholesalers;25.876544379978196;21.98137018475417
2018;Furn/Home Furnishings;90.857391282429;19.908219241125263
2018;Green & Renewable Energy;192.48759055802245;38.96486338048536
2018;Healthcare Products;91.79888470367098;136.51662949536694
2018;Healthcare Support Services;41.189689095330486;23.69350090715717
2018;Heathcare Information and Technology;69.02628844374804;33.07849155591077
2018;Homebuilding;24.372311003971877;15.33204984197067
2018;Hospitals/Healthcare Facilities;19.77256223310841;18.828478154878383
2018;Hotel/Gaming;54.56146322143538;25.77406465581817
2018;Household Products;48.58987503211235;21.21496437265519
2018;Information Services;34.30533074867159;24.34817559846772
2018;Insurance (General);22.15502487473482;17.302601216031295
2018;Insurance (Life);18.16892654924914;12.15930875076308
2018;Insurance (Prop/Cas.);49.68774035768677;17.778134590554593
2018;Investments & Asset Management;158.40592211225112;15.05607245303232
2018;Machinery;32.74334580719923;22.972900319122957
2018;Metals & Mining;52.10903751925403;18.826278705611703
2018;Office Equipment & Services;35.376266441201516;15.706606329534443
2018;Oil/Gas (Integrated);55.9425019422961;29.48227936817445
2018;Oil/Gas (Production and Exploration);126.14508317046597;37.8600281903569
2018;Oil/Gas Distribution;43.87360563143704;39.96813905269048
2018;Oilfield Svcs/Equip.;131.0046432865755;59.62494964026033
2018;Packaging & Container;26.437475828278913;18.23986953674613
2018;Paper/Forest Products;75.08835222353117;14.683935388988704
